kanji,meaning,readings
従,obey,jū/shitaga-u/shitaga-eru
准,quasi-,jun
殉,martyrdom,jun
純,genuine,jun
書,write,sho/ka-ku
徐,gradually,jo
除,exclude,jo/nozo-ku
宵,wee hours,shō/yoi
将,leader,shō
消,extinguish,shō/ki-eru/ke-su
症,symptoms,shō
祥,auspicious,shō
称,appellation,shō
笑,laugh,shō/wara-u/e-mu
辱,embarrass,joku/hazukashi-meru
唇,lips,shin/kuchibiru
娠,with child,shin
振,shake,shin/fu-ru/fu-rū/fu-reru
浸,immersed,shin/hita-su/hita-ru
真,true,shin/ma
針,needle,shin/hari
陣,camp,jin
粋,chic,sui/iki
衰,decline,sui/otoro-eru
凄,uncanny,sei
逝,departed,sei/yu-ku/i-ku
席,seat,seki
脊,stature,seki
隻,vessels,seki
扇,fan,sen/ōgi
栓,plug,sen
租,tariff,so
素,elementary,so/su
倉,warehouse,sō/kura
捜,search,sō/saga-su
挿,insert,sō/sa-su
桑,mulberry,sō/kuwa
造,create,zō/tsuku-ru
息,breath,soku/iki
捉,capture,soku/tora-eru
速,fast,soku/haya-i/haya-meru/haya-maru/sumi-yaka
孫,grandchild,son/mago
帯,sash,tai/o-biru/obi
泰,peaceful,tai
託,consign,taku
値,value,chi/ne/atai
恥,shame,chi/ha-jiru/haji/ha-jirau/ha-zukashii
致,(to) do,chi/ita-su
畜,livestock,chiku
逐,pursue,chiku
秩,regularity,chitsu
衷,inmost,chū
酎,sake,chū
捗,make progress,choku
朕,majestic plural,chin
通,pass through,tsū/too-ru/too-su/kayo-u
庭,garden,tei/niwa
逓,relay,tei
哲,philosophy,tetsu
展,expand,ten
徒,junior,to
途,route,to
倒,overthrow,tō/tao-reru/tao-su
凍,frozen,tō/koo-ru/kogo-eru
唐,T'ang,tō/kara
島,island,tō/shima
桃,peach tree,tō/momo
討,chastise,tō/u-tsu
透,transparent,tō/su-ku/su-kasu/su-keru
党,group,tō
胴,trunk,dō
匿,hide,toku
特,special,toku
悩,trouble,nō/naya-mu/naya-masu
納,settlement,nō/osa-meru/osa-maru
能,ability,nō
破,rend,ha/yabu-ru/yabu-reru
馬,horse,ba/uma
俳,haiku,hai
配,distribute,hai/kuba-ru
倍,double,bai
梅,ume (Japanese apricot),bai/ume
剝,peel,haku/ha-gasu/ha-gu/ha-gareru/ha-geru
班,squad,han
畔,paddy-ridge,han
般,generally,han
疲,exhausted,hi/tsuka-reru
秘,secret,hi/hi-meru
被,incur,hi/kōmu-ru
姫,princess,hime
俵,bag,hyō/tawara
病,sick,byō/ya-mu/yamai
浜,seacoast,hin/hama
敏,cleverness,bin
浮,floating,fu/u-ku/u-kareru/u-kabu/u-kaberu
粉,flour,fun/ko/kona
紛,distract,fun/magi-reru/magi-rasu/magi-rawasu/magi-rawashii
陛,highness,hei
勉,exertion,ben
哺,suckle,ho
捕,catch,ho/to-raeru/to-rawareru/to-ru/tsuka-maeru/tsuka-maru
俸,salary,hō
倣,emulate,hō/nara-u
峰,summit,hō/mine
砲,cannon,hō
剖,divide,bō
紡,spinning,bō/tsumu-gu
埋,bury,mai/u-meru/u-maru/u-moreru
脈,vein,myaku
眠,sleep,min/nemu-ru/nemu-i
娘,daughter,musume
冥,dark,mei/myō
耗,decrease,mō
紋,family crest,mon
容,contain,yō
浴,bathe,yoku/a-biru/a-biseru
流,stream,ryū/naga-reru/naga-su
留,detain,ryū/to-meru/to-maru
竜,dragon,ryū/tatsu
旅,trip,ryo/tabi
料,fee,ryō
倫,ethics,rin
涙,tears,rui/namida
烈,ardent,retsu
恋,romance,ren/ko-u/koi/koi-shii
連,take along,ren/tsura-naru/tsura-neru/tsu-reru
朗,melodious,rō/hoga-raka
浪,wandering,rō
脇,aside,waki
悪,bad,aku/o/waru-i
尉,military officer,i
異,uncommon,i/koto
移,shift,i/utsu-ru/utsu-su
萎,wither,i/na-eru
域,range,iki
逸,deviate,itsu
淫,lewdness,in/mida-ra
陰,shade,in/kage/kage-ru
液,fluid,eki
菓,confectionery,ka
貨,freight,ka
械,contraption,kai
崖,cliff,gai/gake
涯,horizon,gai
殻,husk,kaku/kara
郭,enclosure,kaku
掛,hang,ka-keru/ka-karu/kakari
喝,hoarse,katsu
渇,thirst,katsu/kawa-ku
乾,dry,kan/kawa-ku/kawa-kasu
勘,intuition,kan
患,afflicted,kan/wazura-u
貫,pierce,kan/tsuranu-ku
眼,eyeball,gan/manako
基,foundation,ki/moto/motoi
寄,approach,ki/yo-ru/yo-seru
規,rule,ki
亀,turtle,ki/kame
偽,falsehood,gi/itsuwa-ru/nise
菊,chrysanthemum,kiku
脚,leg,kyaku/ashi
救,salvation,kyū/suku-u
球,sphere,kyū/tama
虚,void,kyo
許,permit,kyo/yuru-su
魚,fish,gyo/uo/sakana
強,strong,kyō/gō/tsuyo-i/tsuyo-maru/tsuyo-meru/shi-iru
教,teach,kyō/oshi-eru/oso-waru
郷,home town,kyō/gō
菌,germ,kin
惧,dread,gu
偶,accidentally,gū
掘,dig,kutsu/ho-ru
啓,disclose,kei
掲,put up (a notice),kei/kaka-geru
渓,mountain stream,kei
経,manage,kei/kyō/he-ru
蛍,lightning-bug,kei/hotaru
健,healthy,ken/suko-yaka
険,precipitous,ken/kewa-shii
現,appear,gen/arawa-reru/arawa-su
舷,gunwale,gen
康,health,kō
控,withdraw,kō/hika-eru
梗,close up,kō
黄,yellow,kō/ō/ki
黒,black,koku/kuro/kuro-i
頃,times,koro
婚,marriage,kon
混,mix,kon/ma-jiru/ma-zaru/ma-zeru/ko-mu
痕,mark,kon/ato
紺,dark blue,kon
彩,coloring,sai/irodo-ru
採,pick,sai/to-ru
済,settle,sai/su-mu/su-masu
祭,festival,sai/matsu-ru/matsu-ri
斎,purification,sai
細,thin,sai/hoso-i/hoso-ru/koma-ka/koma-kai
菜,vegetable,sai/na
埼,cape (geography),
崎,promontory,saki
惨,wretched,san/zan/miji-me
産,give birth,san/u-mu/u-mareru/ubu
斬,kill by slicing,zan/ki-ru
視,look at,shi
鹿,deer,shika
執,tenacious,shitsu/shū/to-ru
捨,throw away,sha/su-teru
赦,pardon,sha
斜,diagonal,sha/nana-me
蛇,snake,ja/da/hebi
釈,explanation,shaku
寂,loneliness,jaku/sabi/sabi-shii/sabi-reru
授,instruct,ju/sazu-keru/sazu-karu
終,end,shū/o-waru/o-eru
羞,feel ashamed,shū
習,learn,shū/nara-u
週,week,shū
渋,astringent,jū/shibu/shibu-i/shibu-ru
宿,inn,shuku/yado/yado-ru/yado-su
淑,graceful,shuku
粛,solemn,shuku
術,art,jutsu
庶,commoner,sho
唱,chant,shō/tona-eru
商,sell,shō/akina-u
渉,ford,shō
章,chapter,shō
紹,introduce,shō
訟,sue,shō
剰,surplus,jō
常,normal,jō/tsune/toko
情,feelings,jō/nasa-ke
深,deep,shin/fuka-i/fuka-maru/fuka-meru
紳,sire,shin
進,advance,shin/susu-mu/susu-meru
推,infer,sui/o-su
酔,drunk,sui/yo-u
崇,adore,sū
据,set,su-eru/su-waru
清,pure,sei/kiyo-i/kiyo-maru/kiyo-meru
盛,prosper,sei/mo-ru/saka-ru/saka-n
惜,pity,seki/o-shii/o-shimu
戚,grieve,seki
責,blame,seki/se-meru
接,contact,setsu/tsu-gu
設,establish,setsu/mō-keru
雪,snow,setsu/yuki
旋,rotation,sen
船,boat,sen/fune
措,set aside,so
粗,coarse,so/ara-i
組,association,so/ku-mu/kumi
巣,nest,sō/su
掃,sweep,sō/ha-ku
曹,cadet,sō
曽,formerly,sō
爽,refreshing,sō/sawa-yaka
窓,window,sō/mado
側,side,soku/gawa
族,tribe,zoku
率,rate,sotsu/ritsu/hiki-iru
唾,saliva,da/tsuba
堆,piled high,tai
袋,sack,tai/fukuro
逮,apprehend,tai
第,ordinal number prefix,dai
脱,undress,datsu/nu-gu/nu-geru
探,grope,tan/sagu-ru/saga-su
淡,thin,tan/awa-i
断,cut off,dan/ta-tsu/kotowa-ru
窒,plug up,chitsu
著,renowned,cho/arawa-su/ichijiru-shii
帳,account book,chō
張,stretch,chō/ha-ru
彫,carve,chō/ho-ru
眺,stare,chō/naga-meru
釣,angling,chō/tsu-ru
頂,place on the head,chō/itada-ku/itadaki
鳥,bird,chō/tori
陳,exhibit,chin
停,halt,tei
偵,spy,tei
笛,flute,teki/fue
添,annexed,ten/so-eru/so-u
転,revolve,ten/koro-garu/koro-geru/koro-gasu/koro-bu
都,metropolis,to/tsu/miyako
悼,lament,tō/ita-mu
盗,steal,tō/nusu-mu
陶,pottery,tō
動,move,dō/ugo-ku/ugo-kasu
堂,public chamber,dō
得,acquire,toku/e-ru/u-ru
豚,pork,ton/buta
貪,covet,don/musabo-ru
梨,pear tree,nashi
軟,soft,nan/yawa-raka/yawa-rakai
捻,twist,nen/hine-ru
粘,sticky,nen/neba-ru
脳,brain,nō
婆,old woman,ba
排,repudiate,hai
敗,failure,hai/yabu-reru
培,cultivate,bai/tsuchika-u
陪,obeisance,bai
舶,liner,haku
販,marketing,han
票,ballot,hyō
描,sketch,byō/ega-ku/ka-ku
猫,cat,byō/neko
貧,poor,hin/bin/mazu-shii
瓶,flower pot,bin
婦,lady,fu
符,token,fu
部,part,bu
副,vice,fuku
閉,closed,hei/to-jiru/to-zasu/shi-meru/shi-maru
偏,partial,hen/katayo-ru
崩,crumble,hō/kuzu-reru/kuzu-su
訪,visit,hō/otozu-reru/tazu-neru
望,hope,bō/mō/nozo-mu
堀,ditch,hori
麻,hemp,ma/asa
密,secrecy,mitsu
務,duty,mu/tsuto-meru/tsuto-maru
猛,fierce,mō
問,question,mon/to-u/to-i
野,field,ya/no
訳,translate,yaku/wake
唯,solely,yui
悠,permanence,yū
郵,mail,yū
庸,commonplace,yō
欲,longing,yoku/ho'-suru/ho-shii
翌,the following,yoku
理,reason,ri
陸,land,riku
略,abbreviation,ryaku
粒,grains,ryū/tsubu
隆,hump,ryū
涼,refreshing,ryō/suzu-shii/suzu-mu
猟,game-hunting,ryō
陵,mausoleum,ryō/misasagi
累,accumulate,rui
握,grip,aku/nigi-ru
嵐,storm,arashi
偉,admirable,i/era-i
椅,chair,i
飲,drink,in/no-mu
運,carry,un/hako-bu
雲,cloud,un/kumo
営,manage,ei/itona-mu
詠,recitation,ei/yo-mu
越,cross over,etsu/ko-su/ko-eru
媛,princess,en
援,aid,en
奥,heart,ō/oku
温,warm,on/atata-ka/atata-kai/atata-maru/atata-meru
渦,whirlpool,ka/uzu
過,go beyond,ka/su-giru/su-gosu/ayama-tsu/ayama-chi
賀,congratulations,ga
絵,picture,kai/e
開,open,kai/hira-ku/hira-keru/a-ku/a-keru
階,floor of a building,kai
街,street,gai/machi
覚,memorize,kaku/obo-eru/sa-masu/sa-meru
割,divide,katsu/wa-ru/wari/wa-reru/sa-ku
葛,arrowroot,katsu/kuzu
寒,cold,kan/samu-i
喚,yell,kan
堪,withstand,kan/ta-eru
換,interchange,kan/ka-eru/ka-waru
敢,daring,kan
棺,coffin,kan
款,goodwill,kan
間,interval,kan/ken/aida/ma
閑,leisure,kan
喜,rejoice,ki/yoroko-bu
幾,how many,ki/iku
揮,brandish,ki
期,period of time,ki
棋,chess piece,ki
貴,precious,ki/tatto-i/tōto-i/tatto-bu/tōto-bu
欺,deceit,gi/azamu-ku
喫,consume,kitsu
給,salary,kyū
距,long-distance,kyo
御,honorable,gyo/go/on
暁,daybreak,gyō/akatsuki
極,poles,kyoku/goku/kiwa-meru/kiwa-maru/kiwa-mi
勤,diligence,kin/tsuto-meru/tsuto-maru
琴,harp,kin/koto
筋,muscle,kin/suji
遇,interview,gū
隅,corner,gū/sumi
敬,respect,kei/uyama-u
景,scenery,kei
軽,light,kei/karu-i/karo-yaka
結,tie,ketsu/musu-bu/yu-u/yu-waeru
圏,sphere,ken
堅,strict,ken/kata-i
検,examine,ken
減,decrease,gen/he-ru/he-rasu
湖,lake,ko/mizūmi
雇,employ,ko/yato-u
喉,throat,kō/nodo
慌,disconcerted,kō/awa-teru/awa-tadashii
港,harbor,kō/minato
硬,stiff,kō/kata-i
絞,strangle,kō/shibo-ru/shi-meru/shi-maru
項,paragraph,kō
詐,lie,sa
最,most,sai/motto-mo
裁,judge,sai/ta-tsu/saba-ku
策,scheme,saku
酢,vinegar,saku/su
傘,umbrella,san/kasa
散,scatter,san/chi-ru/chi-rasu/chi-rakasu/chi-rakaru
紫,purple,shi/murasaki
詞,poetry,shi
歯,tooth,shi/ha
滋,nourishing,ji
軸,axis,jiku
湿,damp,shitsu/shime-ru/shime-su
煮,boil,sha/ni-ru/ni-eru/ni-yasu
就,concerning,shū/tsu-ku/tsu-keru
衆,masses,shū
集,collect,shū/atsu-maru/atsu-meru/tsudo-u
循,sequential,jun
順,obey,jun
暑,hot,sho/atsu-i
勝,win,shō/ka-tsu/masa-ru
掌,manipulate,shō
晶,sparkle,shō
焼,bake,shō/ya-ku/ya-keru
焦,char,shō/ko-geru/ko-gasu/ko-gareru/ase-ru
硝,nitrate,shō
粧,cosmetics,shō
詔,imperial edict,shō/mikotonori
証,evidence,shō
象,elephant,shō/zō
場,place,jō/ba
畳,tatami mat,jō/tata-mu/tatami
植,plant,shoku/u-eru/u-waru
殖,augment,shoku/fu-eru/fu-yasu
森,forest,shin/mori
診,checkup,shin/mi-ru
尋,inquire,jin/tazu-neru
須,by all means,su
遂,consummate,sui/to-geru
随,follow,zui
婿,bridegroom,sei/muko
晴,clear up,sei/ha-reru/ha-rasu
税,tax,zei
&,discontinue,zetsu/ta-eru/ta-yasu/ta-tsu
善,good,zen/yo-i
然,so,zen/nen
疎,alienate,so/uto-i/uto-mu
訴,sue,so/utta-eru
創,create,sō/tsuku-ru
喪,miss,sō/mo
痩,get thin,sō/ya-seru
葬,interment,sō/hōmu-ru
装,attire,sō/shō/yosoo-u
測,fathom,soku/haka-ru
属,belong,zoku
尊,revered,son/tatto-i/tōto-i/tatto-bu/tōto-bu
堕,degenerate,da
惰,lazy,da
替,exchange,tai/ka-eru/ka-waru
貸,lend,tai/ka-su
隊,group,tai
達,attain,tatsu
棚,shelf,tana
短,short,tan/mijika-i
弾,bullet,dan/hi-ku/hazu-mu/tama
遅,slow,chi/oku-reru/oku-rasu/oso-i
着,wear,chaku/ki-ru/ki-seru/tsu-ku/tsu-keru
貯,savings,cho
朝,morning,chō/asa
貼,paste,chō/ha-ru
超,transcend,chō/ko-eru/ko-su
椎,oak,tsui
痛,pain,tsū/ita-i/ita-mu/ita-meru
塚,hillock,tsuka
堤,dike,tei/tsutsumi
提,present,tei/sa-geru
程,extent,tei/hodo
渡,transit,to/wata-ru/wata-su
塔,pagoda,tō
搭,board,tō
棟,ridgepole,tō/mune
湯,hot water,tō/yu
痘,pox,tō
登,climb,tō/to/nobo-ru
答,answer,tō/kota-eru/kota-e
等,class,tō/hito-shii
筒,cylinder,tō/tsutsu
統,unite,tō/su-beru
童,juvenile,dō/warabe
道,road,dō/michi
鈍,dull,don/nibu-i/nibu-ru
廃,abolish,hai/suta-reru/suta-ru
媒,mediator,bai
買,buy,bai/ka-u
博,Dr.,haku
斑,blemish,han
飯,meal,han/meshi
&,nightfall,ban
番,one's turn,ban
蛮,barbarian,ban
悲,sad,hi/kana-shii/kana-shimu
扉,front door,hi/tobira
費,expense,hi/tsui-yasu/tsui-eru
備,provide,bi/sona-eru/sona-waru
筆,writing brush,hitsu/fude
評,evaluate,hyō
富,rich,fu/to-mu/tomi
普,universal,fu
幅,breadth,fuku/haba
復,again,fuku
雰,atmosphere,fun
塀,fence,hei
遍,everywhere,hen
補,supplement,ho/ogina-u
募,recruit,bo/tsuno-ru
報,report,hō/muku-iru
傍,bystander,bō/katawa-ra
帽,cap,bō
棒,rod,bō
貿,trade,bō
満,full,man/mi-chiru/mi-tasu
無,nothing,mu/bu/na-i
喩,metaphor,yu
愉,pleasure,yu
湧,boil,yū/wa-ku
猶,furthermore,yū
裕,abundant,yū
遊,play,yū/aso-bu
雄,male,yū/o/osu
揚,hoist,yō/a-geru/a-garu
揺,swing,yō/yu-reru/yu-ru/yu-ragu/yu-rugu/yu-suru/yu-saburu/yu-suburu
葉,leaf,yō/ha
陽,sunshine,yō
絡,entwine,raku/kara-mu/kara-maru/kara-meru
落,fall,raku/o-chiru/o-tosu
痢,diarrhea,ri
硫,sulphur,ryū
量,quantity,ryō/haka-ru
塁,bases,rui
裂,split,retsu/sa-ku/sa-keru
廊,corridor,rō
惑,beguile,waku/mado-u
湾,gulf,wan
腕,arm,wan/ude
愛,love,ai
暗,dark,an/kura-i
彙,same kind,i
意,idea,i
違,differ,i/chiga-u/chiga-eru
園,garden,en/sono
煙,smoke,en/kemu-ru/kemuri/kemu-i
猿,monkey,en/saru
遠,far,en/too-i
鉛,lead,en/namari
塩,salt,en/shio
虞,uneasiness,osore
嫁,marry into,ka/yome/totsu-gu
暇,spare time,ka/hima
禍,calamity,ka
靴,shoes,ka/kutsu
雅,gracious,ga
塊,clod,kai/katamari
楷,square character style,kai
解,untie,kai/ge/to-ku/to-kasu/to-keru
慨,rue,gai
蓋,cover,gai/futa
該,above-stated,gai
較,contrast,kaku
隔,isolate,kaku/heda-teru/heda-taru
楽,pleasure,gaku/raku/tano-shii/tano-shimu
滑,slippery,katsu/kotsu/sube-ru/name-raka
褐,brown,katsu
勧,persuade,kan/susu-meru
寛,tolerant,kan
幹,tree-trunk,kan/miki
感,feeling,kan
漢,China,kan
頑,stubborn,gan
棄,abandon,ki
毀,destroy,ki
義,righteousness,gi
詰,packed,kitsu/tsu-meru/tsu-maru/tsu-mu
嗅,smell,kyū/ka-gu
業,business,gyō/gō/waza
僅,a wee bit,kin/wazu-ka
禁,prohibition,kin
愚,foolish,gu/oro-ka
窟,cavern,kutsu
群,flock,gun/mu-reru/mu-re
傾,lean,kei/katamu-ku/katamu-keru
携,portable,kei/tazusa-eru/tazusa-waru
継,inherit,kei/tsu-gu
詣,visit a temple,kei/mō-deru
隙,fissure,geki/suki
傑,greatness,ketsu
嫌,dislike,ken/kira-u/iya
献,offering,ken
絹,silk,ken/kinu
遣,dispatch,ken/tsuka-u/tsuka-wasu
源,origin,gen/minamoto
誇,boast,ko/hoko-ru
鼓,drum,ko/tsuzumi
碁,Go,go
溝,gutter,kō/mizo
鉱,mineral,kō
傲,be proud,gō
債,bond,sai
催,sponsor,sai/moyoo-su
塞,obstruct,sai/soku/fusa-gu/fusa-garu
歳,year-end,sai
載,ride,sai/no-seru/no-ru
罪,guilt,zai/tsumi
搾,squeeze,saku/shibo-ru
嗣,heir,shi
試,test,shi/kokoro-miru/tame-su
詩,poem,shi
資,resources,shi
飼,domesticate,shi/ka-u
慈,mercy,ji/itsuku-shimu
辞,resign,ji/ya-meru
嫉,envy,shitsu
腫,tumor,shu/ha-reru/ha-rasu
愁,distress,shū/ure-eru/ure-i
酬,repay,shū
準,standard,jun
署,government office,sho
傷,wound,shō/kizu/ita-mu/ita-meru
&,exhort,shō
照,illuminate,shō/te-ru/te-rasu/te-reru
詳,detailed,shō/kuwa-shii
蒸,steam,jō/mu-su/mu-reru/mu-rasu
飾,decorate,shoku/kaza-ru
触,contact,shoku/fu-reru/sawa-ru
寝,lie down,shin/ne-ru/ne-kasu
慎,humility,shin/tsutsushi-mu
新,new,shin/atara-shii/ara-ta/nii
腎,kidney,jin
睡,drowsy,sui
数,number,sū/kazu/kazo-eru
裾,cuff,suso
勢,power,sei/ikio-i
聖,holy,sei
誠,sincerity,sei/makoto
跡,tracks,seki/ato
摂,vicarious,setsu
節,node,setsu/fushi
戦,war,sen/ikusa/tataka-u
煎,broil,sen/i-ru
羨,envy,sen/uraya-mu/uraya-mashii
腺,gland,sen
詮,discussion,sen
践,tread,sen
禅,Zen,zen
塑,model,so
僧,Buddhist priest,sō
想,concept,sō
賊,burglar,zoku
続,continue,zoku/tsuzu-ku/tsuzu-keru
損,loss,son/soko-nau/soko-neru
滞,stagnate,tai/todokoo-ru
滝,waterfall,taki
嘆,sigh,tan/nage-ku/nage-kawashii
暖,warmth,dan/atata-ka/atata-kai/atata-maru/atata-meru
痴,stupid,chi
稚,immature,chi
置,put,chi/o-ku
蓄,amass,chiku/takuwa-eru
腸,intestines,chō
跳,hop,chō/ha-neru/to-bu
賃,fare,chin
艇,rowboat,tei
溺,drown,deki/obo-reru
鉄,iron,tetsu
塡,fill in,ten
殿,Mr.,den/ten/tono/dono
電,electricity,den
塗,paint,to/nu-ru
働,work,dō/hatara-ku
督,coach,toku
頓,suddenly,ton
農,farming,nō
漠,vague,baku
鉢,bowl,hachi
搬,conveyor,han
煩,anxiety,han/wazura-u/wazura-wasu
頒,partition,han
微,delicate,bi
福,luck,fuku
腹,abdomen,fuku/hara
墓,grave,bo/haka
蜂,bee,hō/hachi
豊,bountiful,hō/yuta-ka
飽,sated,hō/a-kiru/a-kasu
睦,harmonious,boku
幕,curtain,maku/baku
夢,dream,mu/yume
盟,alliance,mei
滅,destroy,metsu/horo-biru/horo-bosu
誉,reputation,yo/homa-re
預,deposit,yo/azu-keru/azu-karu
溶,melt,yō/to-keru/to-kasu/to-ku
腰,loins,yō/koshi
裸,naked,ra/hadaka
雷,thunder,rai/kaminari
酪,dairy products,raku
裏,back,ri/ura
慄,fear,ritsu
虜,captive,ryo
鈴,small bell,rei/rin/suzu
零,zero,rei
廉,bargain,ren
賂,bribe,ro
路,road,ro/ji
楼,watchtower,rō
話,talk,wa/hana-su/hanashi
賄,bribe,wai/makana-u
維,fiber,i
隠,conceal,in/kaku-su/kaku-reru
駅,station,eki
演,perform,en
寡,widow,ka
歌,song,ka/uta/uta-u
箇,counters for things,ka
概,outline,gai
閣,tall,kaku
慣,accustomed,kan/na-reru/na-rasu
管,pipe,kan/kuda
関,related,kan/seki/kaka-waru
旗,national flag,ki/hata
疑,doubt,gi/utaga-u
漁,fishing,gyo/ryō
境,boundary,kyō/sakai
銀,silver,gin
駆,drive,ku/ka-keru/ka-ru
熊,bear,kuma
語,language,go/kata-ru/kata-rau
誤,mistake,go/ayama-ru
構,construct,kō/kama-eru/kama-u
綱,hawser,kō/tsuna
酵,fermentation,kō
豪,overpowering,gō
穀,cereals,koku
酷,cruel,koku
獄,prison,goku
魂,soul,kon/tamashii
際,occasion,sai/kiwa
察,guess,satsu
雑,miscellaneous,zatsu/zō
算,calculate,san
酸,acid,san/su-i
誌,document,shi
雌,feminine,shi/me/mesu
磁,magnet,ji
漆,lacquer,shitsu/urushi
遮,intercept,sha/saegi-ru
種,kind,shu/tane
需,demand,ju
銃,gun,jū
塾,cram school,juku
緒,thong,sho/o
彰,patent,shō
障,hurt,shō/sawa-ru
精,refined,sei
製,manufacture,sei
誓,vow,sei/chika-u
静,quiet,sei/shizu/shizu-ka/shizu-maru/shizu-meru
説,theory,setsu/to-ku
箋,paper,sen
銭,coin,sen/zeni
漸,steadily,zen
遡,go upstream,so/sakanobo-ru
層,stratum,sō
総,whole,sō
遭,encounter,sō/a-u
像,statue,zō
増,increase,zō/ma-su/fu-eru/fu-yasu
憎,hate,zō/niku-mu/niku-i/niku-rashii/niku-shimi
遜,humble,son
駄,burdensome,da
態,condition,tai
奪,rob,datsu/uba-u
端,edge,tan/hashi/ha/hata
綻,rip,tan/hokoro-biru
嫡,legitimate wife,chaku
徴,indications,chō
漬,pickling,tsu-keru/tsu-karu
摘,pinch,teki/tsu-mu
滴,drip,teki/shizuku/shitata-ru
適,suitable,teki
稲,rice plant,tō/ine
銅,copper,dō
徳,benevolence,toku
読,read,doku/toku/yo-mu
認,recognize,nin/mito-meru
寧,rather,nei
髪,hair of the head,hatsu/kami
罰,penalty,batsu/bachi
閥,clique,batsu
碑,tombstone,hi
鼻,nose,bi/hana
漂,drift,hyō/tadayo-u
腐,rot,fu/kusa-ru/kusa-reru/kusa-rasu
複,duplicate,fuku
聞,hear,bun/mon/ki-ku/ki-koeru
蔑,ignore,betsu/sagesu-mu
慕,pining,bo/shita-u
暮,livelihood,bo/ku-reru/ku-rasu
貌,appearance,bō
僕,me,boku
墨,black ink,boku/sumi
膜,membrane,maku
慢,ridicule,man
漫,cartoon,man
蜜,honey,mitsu
銘,inscription,mei
鳴,chirp,mei/na-ku/na-ru/na-rasu
綿,cotton,men/wata
模,imitation,mo/bo
網,netting,mō/ami
誘,entice,yū/saso-u
様,formal title,yō/sama
瘍,boil (medical),yō
踊,jump,yō/odo-ru/odo-ri
辣,bitter,ratsu
僚,colleague,ryō
領,territory,ryō
緑,green,ryoku/midori
瑠,lapis lazuli,ru
暦,calendar,reki/koyomi
歴,curriculum,reki
練,practice,ren/ne-ru
漏,leak,rō/mo-ru/mo-reru/mo-rasu
慰,consolation,i/nagusa-meru/nagusa-mu
遺,bequeath,i
影,shadow,ei/kage
鋭,pointed,ei/surudo-i
謁,audience,etsu
閲,review,etsu
縁,affinity,en/fuchi
横,side,ō/yoko
億,hundred million,oku
稼,earnings,ka/kase-gu
課,section,ka
餓,starve,ga
潰,crush,kai/tsubu-su/tsubu-reru
確,certain,kaku/tashi-ka/tashi-kameru
潟,lagoon,kata
歓,delight,kan
監,oversee,kan
緩,slacken,kan/yuru-i/yuru-yaka/yuru-mu/yuru-meru
器,container,ki/utsuwa
畿,capital,ki
輝,radiance,ki/kagaya-ku
儀,ceremony,gi
戯,frolic,gi/tawamu-reru
窮,hard up,kyū/kiwa-meru/kiwa-maru
緊,tense,kin
勲,meritorious deed,kun
慶,jubilation,kei
憬,long for,kei
稽,consider,kei
劇,drama,geki
撃,beat,geki/u-tsu
潔,undefiled,ketsu/isagiyo-i
権,rights,ken
稿,draft,kō
駒,horse,koma
撮,snapshot,satsu/to-ru
賛,approve,san
暫,temporarily,zan
摯,seriousness,shi
賜,grant,shi/tamawa-ru
餌,bait,ji/esa/e
質,quality,shitsu/shichi
趣,gist,shu/omomuki
熟,ripen,juku/u-reru
潤,wet,jun/uruo-u/uruo-su/uru-mu
遵,abide by,jun
諸,various,sho
憧,desire,shō/akoga-reru
衝,collide,shō
賞,prize,shō
縄,straw rope,jō/nawa
嘱,entrust,shoku
審,examine,shin
震,quake,shin/furu-u/furu-eru
穂,ear,sui/ho
請,solicit,sei/ko-u/u-keru
潜,submerge,sen/hiso-mu/mogu-ru
線,line,sen
遷,transition,sen
選,choose,sen/era-bu
槽,vat,sō
踪,remains,sō
蔵,warehouse,zō/kura
諾,consent,daku
誰,who (question word),dare
誕,nativity,tan
談,discuss,dan
鋳,casting,chū/i-ru
駐,stop-over,chū
嘲,ridicule,chō/azake-ru
潮,tide,chō/shio
澄,lucidity,chō/su-mu/su-masu
調,investigate,chō/shira-beru/totono-u/totono-eru
墜,crash,tsui
締,tighten,tei/shi-maru/shi-meru
敵,enemy,teki/kataki
徹,penetrate,tetsu
撤,remove,tetsu
踏,step,tō/fu-mu/fu-maeru
導,guide,dō/michibi-ku
熱,heat,netsu/atsu-i
罵,insult,ba/nonoshi-ru
輩,comrade,hai
賠,compensation,bai
箱,box,hako
箸,chopsticks,hashi
範,pattern,han
盤,tray,ban
罷,quit,hi
膝,knee,hiza
標,signpost,hyō
賓,V.I.P.,hin
敷,spread,fu/shi-ku
膚,skin,fu
賦,levy,fu
舞,dance,bu/ma-u/mai
噴,erupt,fun/fu-ku
墳,tomb,fun
憤,aroused,fun/ikidoo-ru
幣,cash,hei
弊,abuse,hei
蔽,cover,hei
餅,mochi rice cake,hei/mochi
編,compile,hen/a-mu
舗,pavement,ho
褒,praise,hō/ho-meru
暴,outburst,bō/aba-ku/aba-reru
撲,slap,boku
摩,chafe,ma
魅,fascination,mi
黙,silence,moku/dama-ru
憂,melancholy,yū/ure-eru/ure-i/u-i
窯,kiln,yō/kama
養,foster,yō/yashina-u
履,footgear,ri/ha-ku
璃,glassy,ri
慮,prudence,ryo
寮,dormitory,ryō
輪,wheel,rin/wa
霊,spirits,rei/ryō/tama
